club,clubLabel,leagueLabel,venueLabel,countryLabel,coordinates
http://www.wikidata.org/entity/Q18529,Wrexham A.F.C.,EFL Championship,Racecourse Ground,United Kingdom,Point(-3.003611 53.051944)
http://www.wikidata.org/entity/Q18659,Swansea City A.F.C.,EFL Championship,Liberty Stadium,United Kingdom,Point(-3.9351 51.6422)
http://www.wikidata.org/entity/Q18661,Middlesbrough F.C.,EFL Championship,Riverside Stadium,United Kingdom,Point(-1.216944444 54.578333333)
http://www.wikidata.org/entity/Q18721,Norwich City F.C.,EFL Championship,Carrow Road,United Kingdom,Point(1.309166666 52.622222222)
http://www.wikidata.org/entity/Q18723,Queens Park Rangers F.C.,EFL Championship,Kiyan Prince Foundation Stadium,United Kingdom,Point(-0.232222222 51.509166666)
http://www.wikidata.org/entity/Q18732,Southampton F.C.,EFL Championship,St Mary's Stadium,United Kingdom,Point(-1.39111111 50.90583333)
http://www.wikidata.org/entity/Q18736,Stoke City F.C.,EFL Championship,Britannia Stadium,United Kingdom,Point(-2.175555555 52.988333333)
http://www.wikidata.org/entity/Q18744,West Bromwich Albion F.C.,EFL Championship,The Hawthorns,United Kingdom,Point(-1.963888888 52.509166666)
http://www.wikidata.org/entity/Q19444,Birmingham City F.C.,EFL Championship,St Andrew's,United Kingdom,Point(-1.868188888 52.475702777)
http://www.wikidata.org/entity/Q19446,Blackburn Rovers F.C.,EFL Championship,Ewood Park,United Kingdom,Point(-2.489166666 53.728611111)
http://www.wikidata.org/entity/Q19456,Bristol City F.C.,EFL Championship,Ashton Gate Stadium,United Kingdom,Point(-2.620278 51.44)
http://www.wikidata.org/entity/Q19462,Charlton Athletic F.C.,EFL Championship,The Valley,United Kingdom,Point(0.035632 51.487489)
http://www.wikidata.org/entity/Q19470,Derby County F.C.,EFL Championship,Pride Park Stadium,United Kingdom,Point(-1.447222222 52.915)
http://www.wikidata.org/entity/Q19477,Hull City A.F.C.,EFL Championship,MKM Stadium,United Kingdom,Point(-0.367777777 53.746111111)
http://www.wikidata.org/entity/Q19481,Leicester City F.C.,EFL Championship,Leicester City Stadium,United Kingdom,Point(-1.142222222 52.620277777)
http://www.wikidata.org/entity/Q19487,Millwall F.C.,EFL Championship,The Den,United Kingdom,Point(-0.050833 51.485833)
http://www.wikidata.org/entity/Q19498,Sheffield Wednesday F.C.,EFL Championship,Hillsborough Stadium,United Kingdom,Point(-1.500555555 53.411388888)
http://www.wikidata.org/entity/Q19580,Coventry City F.C.,EFL Championship,Ricoh Arena,United Kingdom,Point(-1.495556 52.448056)
http://www.wikidata.org/entity/Q19604,Portsmouth F.C.,EFL Championship,Fratton Park,United Kingdom,Point(-1.063888888 50.796388888)
http://www.wikidata.org/entity/Q19607,Sheffield United F.C.,EFL Championship,Bramall Lane,United Kingdom,Point(-1.470833333 53.370277777)
http://www.wikidata.org/entity/Q19612,Preston North End F.C.,EFL Championship,Deepdale,United Kingdom,Point(-2.688055555 53.772222222)
http://www.wikidata.org/entity/Q48929,Burton Albion F.C.,EFL Championship,Pirelli Stadium,United Kingdom,Point(-1.626958 52.821906)
http://www.wikidata.org/entity/Q48946,Oxford United F.C.,EFL Championship,Kassam Stadium,United Kingdom,Point(-1.208067 51.716419)
http://www.wikidata.org/entity/Q2714,Watford F.C.,EFL Championship,Vicarage Road,United Kingdom,Point(-0.401606 51.649928)
http://www.wikidata.org/entity/Q9653,Ipswich Town F.C.,EFL Championship,Portman Road,United Kingdom,Point(1.145277777 52.055)
http://www.wikidata.org/entity/Q18662,Cardiff City F.C.,EFL League One,Cardiff City Stadium,United Kingdom,Point(-3.203056 51.472778)
http://www.wikidata.org/entity/Q18729,Reading F.C.,EFL League One,Madejski Stadium,United Kingdom,Point(-0.982777777 51.422222222)
http://www.wikidata.org/entity/Q18750,Wigan Athletic F.C.,EFL League One,The Brick Community Stadium,United Kingdom,Point(-2.653889 53.547778)
http://www.wikidata.org/entity/Q19442,Barnsley F.C.,EFL League One,Oakwell,United Kingdom,Point(-1.4675 53.552222)
http://www.wikidata.org/entity/Q19449,Blackpool F.C.,EFL League One,Bloomfield Road,United Kingdom,Point(-3.048056 53.804722)
http://www.wikidata.org/entity/Q19451,Bolton Wanderers F.C.,EFL League One,Toughsheet Community Stadium,United Kingdom,Point(-2.535555555 53.580555555)
http://www.wikidata.org/entity/Q19473,Huddersfield Town A.F.C.,EFL League One,Kirklees Stadium,United Kingdom,Point(-1.768333333 53.654166666)
http://www.wikidata.org/entity/Q19495,Peterborough United F.C.,EFL League One,London Road Stadium,United Kingdom,Point(-0.240389 52.564694)
http://www.wikidata.org/entity/Q19578,Colchester United F.C.,EFL League One,Colchester Community Stadium,United Kingdom,Point(0.897703 51.9234)
http://www.wikidata.org/entity/Q19589,Doncaster Rovers F.C.,EFL League One,Keepmoat Stadium,United Kingdom,Point(-1.113889 53.509722)
http://www.wikidata.org/entity/Q19595,Leyton Orient F.C.,EFL League One,Brisbane Road,United Kingdom,Point(-0.012639 51.560139)
http://www.wikidata.org/entity/Q19615,Scunthorpe United F.C.,EFL League One,Glanford Park,United Kingdom,Point(-0.69525 53.586722)
http://www.wikidata.org/entity/Q48953,Wycombe Wanderers F.C.,EFL League One,Adams Park,United Kingdom,Point(-0.800277777 51.630555555)
http://www.wikidata.org/entity/Q48851,AFC Wimbledon,EFL League One,Plough Lane,United Kingdom,Point(-0.186669444 51.431363888)
http://www.wikidata.org/entity/Q48879,Bradford City A.F.C.,EFL League One,Valley Parade,United Kingdom,Point(-1.759022222 53.804222222)
http://www.wikidata.org/entity/Q48939,Exeter City F.C.,EFL League One,St James Park,United Kingdom,Point(-3.52115 50.730713888)
http://www.wikidata.org/entity/Q48941,Fleetwood Town F.C.,EFL League One,Highbury Stadium,United Kingdom,Point(-3.024728 53.916508)
http://www.wikidata.org/entity/Q48945,Northampton Town F.C.,EFL League One,Sixfields Stadium,United Kingdom,Point(-0.93345 52.235197)
http://www.wikidata.org/entity/Q48947,Plymouth Argyle F.C.,EFL League One,Home Park,United Kingdom,Point(-4.150833333 50.388055555)
http://www.wikidata.org/entity/Q48948,Port Vale F.C.,EFL League One,Vale Park,United Kingdom,Point(-2.1925 53.049722)
http://www.wikidata.org/entity/Q48950,Rotherham United F.C.,EFL League One,New York Stadium,United Kingdom,Point(-1.362 53.4279)
http://www.wikidata.org/entity/Q18519,Lincoln City F.C.,EFL League One,Sincil Bank,United Kingdom,Point(-0.540811 53.218289)
http://www.wikidata.org/entity/Q18520,Luton Town F.C.,EFL League One,Kenilworth Road,United Kingdom,Point(-0.431666666 51.884166666)
http://www.wikidata.org/entity/Q19584,Crawley Town F.C.,EFL League Two,The Peoples Pension Stadium,United Kingdom,Point(-0.194767 51.099706)
http://www.wikidata.org/entity/Q19587,Crewe Alexandra F.C.,EFL League Two,Alexandra Stadium,United Kingdom,Point(-2.435747 53.087419)
http://www.wikidata.org/entity/Q19592,Hartlepool United F.C.,EFL League Two,Victoria Park,United Kingdom,Point(-1.212722 54.689139)
http://www.wikidata.org/entity/Q19598,Notts County F.C.,EFL League Two,Meadow Lane,United Kingdom,Point(-1.137222 52.9425)
http://www.wikidata.org/entity/Q19601,Oldham Athletic A.F.C.,EFL League Two,Boundary Park,United Kingdom,Point(-2.128611111 53.555277777)
http://www.wikidata.org/entity/Q19626,Shrewsbury Town F.C.,EFL League Two,New Meadow,United Kingdom,Point(-2.74933 52.68863)
http://www.wikidata.org/entity/Q19634,Swindon Town F.C.,EFL League Two,"County Ground, Swindon",United Kingdom,Point(-1.770556 51.564444)
http://www.wikidata.org/entity/Q19637,Tranmere Rovers F.C.,EFL League Two,Prenton Park,United Kingdom,Point(-3.0325 53.373722)
http://www.wikidata.org/entity/Q19644,Walsall F.C.,EFL League Two,Bescot Stadium,United Kingdom,Point(-1.990706 52.565433)
http://www.wikidata.org/entity/Q48843,Accrington Stanley F.C.,EFL League Two,Crown Ground,United Kingdom,Point(-2.370911 53.765356)
http://www.wikidata.org/entity/Q48925,Bristol Rovers F.C.,EFL League Two,Memorial Stadium,United Kingdom,Point(-2.58313 51.4862)
http://www.wikidata.org/entity/Q48932,Cheltenham Town F.C.,EFL League Two,Whaddon Road,United Kingdom,Point(-2.060211 51.906158)
http://www.wikidata.org/entity/Q48935,Chesterfield F.C.,EFL League Two,Proact Stadium,United Kingdom,Point(-1.427203 53.253442)
http://www.wikidata.org/entity/Q48943,Gillingham F.C.,EFL League Two,Priestfield Stadium,United Kingdom,Point(0.560833333 51.384166666)
http://www.wikidata.org/entity/Q9408,Barnet F.C.,EFL League Two,The Hive Stadium,United Kingdom,Point(-0.291785 51.6026)
http://www.wikidata.org/entity/Q9426,Stevenage F.C.,EFL League Two,Broadhall Way,United Kingdom,Point(-0.193608 51.889839)
http://www.wikidata.org/entity/Q248188,Milton Keynes Dons F.C.,EFL League Two,Stadium MK,United Kingdom,Point(-0.733333 52.009444)
http://www.wikidata.org/entity/Q18460,Salford City F.C.,EFL League Two,Moor Lane,United Kingdom,Point(-2.276777777 53.513638888)
http://www.wikidata.org/entity/Q18507,Barrow A.F.C.,EFL League Two,Holker Street,United Kingdom,Point(-3.235 54.123333333)
http://www.wikidata.org/entity/Q18509,Cambridge United F.C.,EFL League Two,Abbey Stadium,United Kingdom,Point(0.153 52.2114)
http://www.wikidata.org/entity/Q18515,Grimsby Town F.C.,EFL League Two,Blundell Park,United Kingdom,Point(-0.046497 53.570225)
http://www.wikidata.org/entity/Q18522,Mansfield Town F.C.,EFL League Two,Field Mill,United Kingdom,Point(-1.200556 53.138056)
http://www.wikidata.org/entity/Q18523,Newport County A.F.C.,EFL League Two,Rodney Parade,United Kingdom,Point(-2.987778 51.588333)
http://www.wikidata.org/entity/Q18526,Stockport County F.C.,EFL League Two,Edgeley Park,United Kingdom,Point(-2.166388888 53.399722222)
http://www.wikidata.org/entity/Q2219286,Harrogate Town A.F.C.,EFL League Two,Wetherby Road,United Kingdom,Point(-1.514444444 53.991666666)
http://www.wikidata.org/entity/Q338557,Dundalk F.C.,League of Ireland First Division,Oriel Park,Ireland,Point(-6.416917 53.998944)
http://www.wikidata.org/entity/Q1478917,Longford Town F.C.,League of Ireland First Division,Flancare Park,Ireland,Point(-7.85361111 53.72416667)
http://www.wikidata.org/entity/Q1341104,University College Dublin A.F.C,League of Ireland First Division,UCD Bowl,Ireland,Point(-6.228055555 53.310277777)
http://www.wikidata.org/entity/Q1352136,Finn Harps F.C.,League of Ireland First Division,Finn Park,Ireland,Point(-7.779730672 54.798087698)
http://www.wikidata.org/entity/Q1666370,Kildare County F.C.,League of Ireland First Division,Station Road,Ireland,Point(-6.810678 53.185078)
http://www.wikidata.org/entity/Q2262729,Salthill Devon F.C.,League of Ireland First Division,Drom Clubhouse,Ireland,Point(-9.13334 53.2932)
http://www.wikidata.org/entity/Q115245702,Kerry FC,League of Ireland First Division,Mounthawk Park,Ireland,Point(-9.715753287 52.283399384)
http://www.wikidata.org/entity/Q761498,Drogheda United F.C.,League of Ireland Premier Division,Hunky Dorys Park,Ireland,Point(-6.357222 53.723336)
http://www.wikidata.org/entity/Q203976,Shamrock Rovers F.C.,League of Ireland Premier Division,Tallaght Stadium,Ireland,Point(-6.37374 53.2835)
http://www.wikidata.org/entity/Q212708,Bohemian F.C.,League of Ireland Premier Division,Dalymount Park,Ireland,Point(-6.275 53.361667)
http://www.wikidata.org/entity/Q244874,Sligo Rovers F.C.,League of Ireland Premier Division,The Showgrounds,Ireland,Point(-8.487233 54.270042)
http://www.wikidata.org/entity/Q394452,St Patrick's Athletic F.C.,League of Ireland Premier Division,Richmond Park,Ireland,Point(-6.316619 53.340922)
http://www.wikidata.org/entity/Q394466,Waterford United F.C.,League of Ireland Premier Division,Waterford Regional Sports Centre,Ireland,Point(-7.132778 52.244722)
http://www.wikidata.org/entity/Q394474,Shelbourne F.C.,League of Ireland Premier Division,Tolka Park,Ireland,Point(-6.251983 53.367514)
http://www.wikidata.org/entity/Q459622,Derry City F.C.,League of Ireland Premier Division,Brandywell Stadium,Ireland,Point(-7.336 54.990633)
http://www.wikidata.org/entity/Q932284,Cork City F.C.,League of Ireland Premier Division,Turners Cross,Ireland,Point(-8.46775 51.885528)
http://www.wikidata.org/entity/Q945043,Galway United F.C.,League of Ireland Premier Division,Eamonn Deacy Park,Ireland,Point(-9.056258 53.284658)
http://www.wikidata.org/entity/Q16783238,Galway FC,League of Ireland Premier Division,Eamonn Deacy Park,Ireland,Point(-9.056258 53.284658)
http://www.wikidata.org/entity/Q18528,Woking F.C.,National League,Kingfield Stadium,United Kingdom,Point(-0.558811 51.306333)
http://www.wikidata.org/entity/Q19575,Carlisle United F.C.,National League,Brunton Park,United Kingdom,Point(-2.91365 54.89556)
http://www.wikidata.org/entity/Q48951,Southend United F.C.,National League,Roots Hall,United Kingdom,Point(0.701556 51.549)
http://www.wikidata.org/entity/Q48954,York City F.C.,National League,York Community Stadium,United Kingdom,Point(-1.052777777 53.984722222)
http://www.wikidata.org/entity/Q47965,Torquay United F.C.,National League,Plainmoor,United Kingdom,Point(-3.523825 50.476408)
http://www.wikidata.org/entity/Q48862,Aldershot Town F.C.,National League,Recreation Ground,United Kingdom,Point(-0.754789 51.248386)
http://www.wikidata.org/entity/Q48938,Dagenham & Redbridge F.C.,National League,Victoria Road,United Kingdom,Point(0.159867 51.5478)
http://www.wikidata.org/entity/Q48944,Morecambe F.C.,National League,Globe Arena,United Kingdom,Point(-2.86716 54.0615)
http://www.wikidata.org/entity/Q48949,Rochdale A.F.C.,National League,Spotland Stadium,United Kingdom,Point(-2.18 53.620833)
http://www.wikidata.org/entity/Q1138515,Rushden & Diamonds F.C.,National League,Nene Park,United Kingdom,Point(-0.599992 52.328033)
http://www.wikidata.org/entity/Q909189,Darlington F.C.,National League,The Darlington Arena,United Kingdom,Point(-1.534394 54.508425)
http://www.wikidata.org/entity/Q18508,Braintree Town F.C.,National League,Cressing Road,United Kingdom,Point(0.572956 51.875322)
http://www.wikidata.org/entity/Q18510,Dartford F.C.,National League,Princes Park,United Kingdom,Point(0.2308 51.437172)
http://www.wikidata.org/entity/Q18511,Ebbsfleet United F.C.,National League,Stonebridge Road,United Kingdom,Point(0.322272 51.449539)
http://www.wikidata.org/entity/Q18512,Forest Green Rovers F.C.,National League,The New Lawn,United Kingdom,Point(-2.233233 51.6984)
http://www.wikidata.org/entity/Q18513,Gateshead F.C.,National League,Gateshead International Stadium,United Kingdom,Point(-1.579722222 54.961111111)
http://www.wikidata.org/entity/Q18525,Southport F.C.,National League,Haig Avenue,United Kingdom,Point(-2.978856 53.638089)
http://www.wikidata.org/entity/Q18527,Tamworth F.C.,National League,The Lamb Ground,United Kingdom,Point(-1.688925 52.628403)
http://www.wikidata.org/entity/Q2975959,Solihull Moors F.C.,National League,Damson Park,United Kingdom,Point(-1.75724 52.4389)
http://www.wikidata.org/entity/Q2454929,Sutton United F.C.,National League,Gander Green Lane,United Kingdom,Point(-0.204444444 51.3675)
http://www.wikidata.org/entity/Q5214935,FC Halifax Town,National League,The Shay,United Kingdom,Point(-1.859167 53.716111)
http://www.wikidata.org/entity/Q4392059,Truro City F.C.,National League,Bolitho Park,United Kingdom,Point(-4.146996 50.408357)
http://www.wikidata.org/entity/Q18660,Altrincham F.C.,National League North,Moss Lane,United Kingdom,Point(-2.335158 53.383436)
http://www.wikidata.org/entity/Q661543,Droylsden F.C.,National League North,Butcher's Arms Ground,United Kingdom,Point(-2.1449 53.481858)
http://www.wikidata.org/entity/Q1491327,Gainsborough Trinity F.C.,National League North,The Northolme,United Kingdom,Point(-0.774525 53.403397)
http://www.wikidata.org/entity/Q894605,Boston United F.C.,National League North,York Street,United Kingdom,Point(-0.019117 52.976786)
http://www.wikidata.org/entity/Q896965,Bradford (Park Avenue) A.F.C.,National League North,Park Avenue,United Kingdom,Point(-1.77005556 53.78260278)
http://www.wikidata.org/entity/Q18505,AFC Telford United,National League North,SEAH Stadium,United Kingdom,Point(-2.501336 52.697272)
http://www.wikidata.org/entity/Q18506,Alfreton Town F.C.,National League North,North Street,United Kingdom,Point(-1.3813 53.0945)
http://www.wikidata.org/entity/Q18518,Kidderminster Harriers F.C.,National League North,Aggborough,United Kingdom,Point(-2.242652777 52.380472222)
http://www.wikidata.org/entity/Q2041933,Chester F.C.,National League North,Deva Stadium,United Kingdom,Point(-2.923814 53.189181)
http://www.wikidata.org/entity/Q1849964,Stalybridge Celtic F.C.,National League North,Bower Fold,United Kingdom,Point(-2.043864 53.475314)
http://www.wikidata.org/entity/Q4140000,Gloucester City A.F.C.,National League North,Meadow Park,United Kingdom,Point(-2.262916666 51.859888888)
http://www.wikidata.org/entity/Q7430259,Scarborough Athletic F.C.,National League North,Flamingo Land Stadium,United Kingdom,Point(-0.41372222 54.26961111)
http://www.wikidata.org/entity/Q19651,Yeovil Town F.C.,National League South,Huish Park,United Kingdom,Point(-2.674881 50.950278)
http://www.wikidata.org/entity/Q368500,Bath City F.C.,National League South,Twerton Park,United Kingdom,Point(-2.3951 51.3787)
http://www.wikidata.org/entity/Q1131109,Maidenhead United F.C.,National League South,York Road,United Kingdom,Point(-0.717989 51.519881)
http://www.wikidata.org/entity/Q1140139,Hayes F.C.,National League South,Church Road,United Kingdom,Point(-0.422233 51.515072)
http://www.wikidata.org/entity/Q1278095,Eastbourne Borough F.C.,National League South,Priory Lane,United Kingdom,Point(0.320767 50.804181)
http://www.wikidata.org/entity/Q1584552,Bromley F.C.,National League South,Hayes Lane,United Kingdom,Point(0.02108333 51.39010278)
http://www.wikidata.org/entity/Q955872,Welling United F.C.,National League South,Park View Road,United Kingdom,Point(0.116514 51.460317)
http://www.wikidata.org/entity/Q2564389,Tonbridge Angels F.C.,National League South,Longmead Stadium,United Kingdom,Point(0.2691 51.2115)
http://www.wikidata.org/entity/Q2975925,Dorchester Town F.C.,National League South,The Avenue Stadium,United Kingdom,Point(-2.445556 50.700667)
http://www.wikidata.org/entity/Q2303493,Eastleigh F.C.,National League South,Ten Acres,United Kingdom,Point(-1.37176944 50.95229444)
http://www.wikidata.org/entity/Q2658370,Dover Athletic F.C.,National League South,Crabble Athletic Ground,United Kingdom,Point(1.284883 51.137814)
http://www.wikidata.org/entity/Q2118564,Salisbury City F.C.,National League South,Raymond McEnhill Stadium,United Kingdom,Point(-1.785758 51.104339)
http://www.wikidata.org/entity/Q4500008,Hornchurch F.C.,National League South,Hornchurch Stadium,United Kingdom,Point(0.238316666 51.556547222)
http://www.wikidata.org/entity/Q2511419,Staines Town F.C.,National League South,Wheatsheaf Park,United Kingdom,Point(-0.502067 51.419727833)
http://www.wikidata.org/entity/Q4094837,Boreham Wood F.C.,National League South,Meadow Park,United Kingdom,Point(-0.272222 51.661944)
http://www.wikidata.org/entity/Q779835,Cliftonville F.C.,NIFL Premiership,Solitude,United Kingdom,Point(-5.947272 54.619517)
http://www.wikidata.org/entity/Q805429,Ballymena United F.C.,NIFL Premiership,Ballymena Showgrounds,United Kingdom,Point(-6.262867 54.869142)
http://www.wikidata.org/entity/Q168660,Portadown F.C.,NIFL Premiership,Shamrock Park,United Kingdom,Point(-6.457778 54.413056)
http://www.wikidata.org/entity/Q674454,Ballinamallard United F.C.,NIFL Premiership,Ferney Park,United Kingdom,Point(-7.59311 54.425)
http://www.wikidata.org/entity/Q244472,Linfield F.C.,NIFL Premiership,Windsor Park,United Kingdom,Point(-5.955 54.5825)
http://www.wikidata.org/entity/Q249533,Glentoran F.C.,NIFL Premiership,The Oval,United Kingdom,Point(-5.891319 54.602964)
http://www.wikidata.org/entity/Q840567,Crusaders F.C.,NIFL Premiership,Seaview,United Kingdom,Point(-5.921925 54.624294)
http://www.wikidata.org/entity/Q1108181,Coleraine F.C.,NIFL Premiership,The Showgrounds,United Kingdom,Point(-6.660278 55.132778)
http://www.wikidata.org/entity/Q1130432,Glenavon F.C.,NIFL Premiership,Mourneview Park,United Kingdom,Point(-6.336389 54.453889)
http://www.wikidata.org/entity/Q585779,Donegal Celtic F.C.,NIFL Premiership,Donegal Celtic Park,United Kingdom,Point(-6.02365833 54.57369167)
http://www.wikidata.org/entity/Q312360,Lisburn Distillery F.C.,NIFL Premiership,New Grosvenor Stadium,United Kingdom,Point(-6.003733 54.535925)
http://www.wikidata.org/entity/Q312363,Belfast Celtic F.C.,NIFL Premiership,Celtic Park,United Kingdom,Point(-5.962551 54.589099)
http://www.wikidata.org/entity/Q1265680,Dungannon Swifts F.C.,NIFL Premiership,Stangmore Park,United Kingdom,Point(-6.714135 54.496307)
http://www.wikidata.org/entity/Q2373463,Larne F.C.,NIFL Premiership,Inver Park,United Kingdom,Point(-5.82625833 54.84980278)
http://www.wikidata.org/entity/Q18656,Manchester United F.C.,Premier League,Old Trafford,United Kingdom,Point(-2.291388888 53.463055555)
http://www.wikidata.org/entity/Q18708,Fulham F.C.,Premier League,Craven Cottage,United Kingdom,Point(-0.221666666 51.475)
http://www.wikidata.org/entity/Q18711,Aston Villa F.C.,Premier League,Villa Park,United Kingdom,Point(-1.884722222 52.509166666)
http://www.wikidata.org/entity/Q18716,Newcastle United F.C.,Premier League,St Jamesâ€™ Park,United Kingdom,Point(-1.621666666 54.975555555)
http://www.wikidata.org/entity/Q18739,Sunderland A.F.C.,Premier League,Stadium of Light,United Kingdom,Point(-1.388172971 54.914429068)
http://www.wikidata.org/entity/Q18741,Tottenham Hotspur F.C.,Premier League,Tottenham Hotspur Stadium,United Kingdom,Point(-0.066388888 51.604444444)
http://www.wikidata.org/entity/Q18747,West Ham United F.C.,Premier League,London Stadium,United Kingdom,Point(-0.016388888 51.538611111)
http://www.wikidata.org/entity/Q19453,Brighton & Hove Albion F.C.,Premier League,Brighton Community Stadium,United Kingdom,Point(-0.083277777 50.861822222)
http://www.wikidata.org/entity/Q19458,Burnley F.C.,Premier League,Turf Moor,United Kingdom,Point(-2.230225 53.789064)
http://www.wikidata.org/entity/Q19467,Crystal Palace F.C.,Premier League,Selhurst Park,United Kingdom,Point(-0.085555555 51.398333333)
http://www.wikidata.org/entity/Q19490,Nottingham Forest F.C.,Premier League,City Ground,United Kingdom,Point(-1.132778 52.94)
http://www.wikidata.org/entity/Q19500,Wolverhampton Wanderers F.C.,Premier League,Molineux Stadium,United Kingdom,Point(-2.130277777 52.590277777)
http://www.wikidata.org/entity/Q19568,AFC Bournemouth,Premier League,Dean Court,United Kingdom,Point(-1.838333 50.735278)
http://www.wikidata.org/entity/Q19571,Brentford F.C.,Premier League,Griffin Park,United Kingdom,Point(-0.302639 51.488167)
http://www.wikidata.org/entity/Q50602,Manchester City F.C.,Premier League,Etihad Stadium,United Kingdom,Point(-2.200277777 53.483055555)
http://www.wikidata.org/entity/Q5794,Everton F.C.,Premier League,Hill Dickinson Stadium,United Kingdom,Point(-3.0027851 53.4250789)
http://www.wikidata.org/entity/Q9616,Chelsea F.C.,Premier League,Stamford Bridge,United Kingdom,Point(-0.191111111 51.481666666)
http://www.wikidata.org/entity/Q9617,Arsenal F.C.,Premier League,Emirates Stadium,United Kingdom,Point(-0.108333333 51.555)
http://www.wikidata.org/entity/Q1128631,Leeds United F.C.,Premier League,Elland Road,United Kingdom,Point(-1.572222222 53.777777777)
http://www.wikidata.org/entity/Q1130849,Liverpool F.C.,Premier League,Anfield,United Kingdom,Point(-2.960833333 53.430833333)
http://www.wikidata.org/entity/Q822722,Partick Thistle F.C.,Scottish Championship,Firhill Stadium,United Kingdom,Point(-4.269639 55.881556)
http://www.wikidata.org/entity/Q1059399,Dumbarton F.C.,Scottish Championship,Dumbarton Football Stadium,United Kingdom,Point(-4.56144 55.9384)
http://www.wikidata.org/entity/Q268776,St Johnstone F.C.,Scottish Championship,McDiarmid Park,United Kingdom,Point(-3.476928 56.409686)
http://www.wikidata.org/entity/Q498473,Hamilton Academical F.C.,Scottish Championship,New Douglas Park,United Kingdom,Point(-4.0585 55.7822)
http://www.wikidata.org/entity/Q309059,Inverness Caledonian Thistle F.C.,Scottish Championship,Caledonian Stadium,United Kingdom,Point(-4.2175 57.494722)
http://www.wikidata.org/entity/Q19593,Celtic F.C.,Scottish Premiership,Celtic Park,United Kingdom,Point(-4.205588888 55.849711111)
http://www.wikidata.org/entity/Q19597,Rangers F.C.,Scottish Premiership,Ibrox Stadium,United Kingdom,Point(-4.309166666 55.853055555)
http://www.wikidata.org/entity/Q192873,Dundee United F.C.,Scottish Premiership,Tannadice Park,United Kingdom,Point(-2.968961 56.474703)
http://www.wikidata.org/entity/Q180420,Ross County F.C.,Scottish Premiership,Victoria Park,United Kingdom,Point(-4.41891 57.5959)
http://www.wikidata.org/entity/Q187326,Aberdeen F.C.,Scottish Premiership,Pittodrie Stadium,United Kingdom,Point(-2.088888888 57.159166666)
http://www.wikidata.org/entity/Q192597,Hibernian F.C.,Scottish Premiership,Easter Road,United Kingdom,Point(-3.165555555 55.961666666)
http://www.wikidata.org/entity/Q202093,Heart of Midlothian F.C.,Scottish Premiership,Tynecastle Park,United Kingdom,Point(-3.232444444 55.939055555)
http://www.wikidata.org/entity/Q210961,Kilmarnock F.C.,Scottish Premiership,Rugby Park,United Kingdom,Point(-4.508122 55.604225)
http://www.wikidata.org/entity/Q216523,Motherwell F.C.,Scottish Premiership,Fir Park,United Kingdom,Point(-3.980078 55.779947)
http://www.wikidata.org/entity/Q219241,Falkirk F.C.,Scottish Premiership,Falkirk Stadium,United Kingdom,Point(-3.754269 56.005136)
http://www.wikidata.org/entity/Q867921,Livingston F.C.,Scottish Premiership,Almondvale Stadium,United Kingdom,Point(-3.522872 55.886167)
http://www.wikidata.org/entity/Q319136,St. Mirren F.C.,Scottish Premiership,St. Mirren Park,United Kingdom,Point(-4.443889 55.850556)
http://www.wikidata.org/entity/Q335483,Dundee F.C.,Scottish Premiership,Dens Park,United Kingdom,Point(-2.973194 56.475264)
http://www.wikidata.org/entity/Q219241,Falkirk F.C.,Scottish Premiership,Brockville Park,United Kingdom,Point(-3.789306 56.003442)
